Nome da campanha,Custo,Custo (Comparação),Cliques,Cliques (Comparação),Interações,Interações (Comparação)
[SEARCH][06.05.26]-BARATAS,"R$ 236,86","R$ 0,00",58,0,58,0
[SEARCH][06.05.26]-ESCORPIÃO,"R$ 39,85","R$ 0,00",9,0,9,0
[SEARCH][06.05.26]-REGIÃO,"R$ 23,14","R$ 0,00",2,0,2,0
