Sexo,Faixa de idade,Impressões,Porcentagem do total conhecido
Masculino,18 a 24,14,"1,78%"
Masculino,25 a 34,46,"5,84%"
Masculino,35 a 44,85,"10,80%"
Masculino,45 a 54,58,"7,37%"
Masculino,55 a 64,88,"11,18%"
Masculino,+65,52,"6,61%"
Feminino,18 a 24,8,"1,02%"
Feminino,25 a 34,61,"7,75%"
Feminino,35 a 44,85,"10,80%"
Feminino,45 a 54,124,"15,76%"
Feminino,55 a 64,115,"14,61%"
Feminino,+65,51,"6,48%"
