Nome da campanha,Nome do grupo de campanhas,Status da campanha,Custo,Cliques,CTR
[SEARCH][06.05.26]-BARATAS,,Ativado,"R$ 236,86",58,"6,68%"
[SEARCH][06.05.26]-ESCORPIÃO,,Ativado,"R$ 39,85",9,"9,00%"
[SEARCH][06.05.26]-REGIÃO,,Pausado,"R$ 23,14",2,"6,90%"
