Hora de início,Impressões
00,0
01,0
02,0
03,0
04,0
05,0
06,0
07,0
08,105
09,107
10,68
11,94
12,70
13,74
14,98
15,88
16,86
17,93
18,19
19,16
20,6
21,25
22,30
23,18
