Faixa de idade,Impressões,Porcentagem do total conhecido
18 a 24,22,"2,80%"
25 a 34,107,"13,60%"
35 a 44,170,"21,60%"
45 a 54,182,"23,13%"
55 a 64,203,"25,79%"
+65,103,"13,09%"
